date,home_team,away_team,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,result,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away
2014,Algeria,Russia,3.65,3.65,2.02,1,1,draw,1.63,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,22.0,870.0
2010,Algeria,Slovenia,3.6,3.12,2.16,0,1,lose,1.44,77.0,77.0,78.0,76.0,72.5,71.5,71.56,69.56,26.0,784.0,31.0,767.0
2006,Angola,Portugal,9.0,3.75,1.33,0,1,lose,7.67,72.0,73.0,71.0,72.0,81.94,82.33,81.44,80.44,61.0,568.0,10.0,753.0
2014,Argentina,Belgium,2.0,3.33,4.16,1,0,win,-2.16,82.53,84.74,81.05,79.47,80.11,79.89,79.11,78.72,3.0,1251.0,11.0,1098.0
2014,Argentina,Bosnia and Herzegovina,1.31,5.53,10.26,2,1,win,-8.95,82.53,84.74,81.05,79.47,74.0,77.0,75.0,72.0,3.0,1251.0,19.0,899.0
2018,Argentina,Croatia,2.1,3.27,4.09,0,3,lose,-1.9899999999999998,82.53,84.74,81.05,79.47,78.12,78.5,76.75,74.62,4.0,1348.0,17.0,1048.0
2010,Argentina,Germany,2.3,3.22,3.16,0,4,lose,-0.8600000000000003,82.53,84.74,81.05,79.47,83.83,82.44,83.11,81.22,8.0,1082.0,6.0,1173.0
2018,Argentina,Iceland,1.33,5.27,11.32,1,1,draw,-9.99,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,22.0,959.0
2014,Argentina,Iran,1.14,8.65,20.52,1,0,win,-19.38,82.53,84.74,81.05,79.47,75.0,81.0,73.0,72.0,3.0,1251.0,33.0,727.0
2010,Argentina,Mexico,1.6,3.69,6.09,3,1,win,-4.49,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,8.0,1082.0,17.0,947.0
2006,Argentina,Mexico,1.37,4.08,9.39,2,1,win,-8.02,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,4.0,772.0,5.0,767.0
