"Year","Team1","Team2","Team1_odd","Draw_odd","Team2_odd"
"2018","France ","Croatia","2.14","3.08","4.24"
"2018","Belgium ","England","2.19","3.79","3.24"
"2018","Croatia","England","3.91","2.99","2.28"
"2018","France ","Belgium","2.61","3.12","3.08"
"2018","Russia","Croatia","4.11","3.16","2.12"
"2018","Sweden"," England","5.19","3.36","1.85"
"2018","Brazil"," Belgium","2.13","3.43","3.74"
"2018","Uruguay"," France","4.69","3.1","2.02"
"2018","Colombia","England","4.05","3.12","2.16"
"2018","Sweden","Switzerland","3.37","2.95","2.54"
"2018","Belgium ","Japan","1.42","4.72","8.93"
"2018","Brazil","Mexico","1.5","4.38","7.58"
"2018","Croatia","Denmark","1.96","3.24","4.78"
"2018","Russia","Spain","6.4","4.07","1.59"
"2018","Uruguay","Portugal","3.03","3","2.75"
"2018","France ","Argentina","2.43","3.09","3.37"
"2018","England"," Belgium","2.51","2.84","3.58"
"2018","Panama","Tunisia","4.38","3.73","1.86"
"2018","Japan","Poland","2.89","3.1","2.75"
"2018","Senegal"," Colombia","5.05","3.73","1.77"
"2018","Serbia"," Brazil","7.43","4.58","1.47"
"2018","Switzerland","Costa Rica","1.59","3.68","7.53"
"2018","Mexico"," Sweden","2.23","3.37","3.51"
"2018","South Korea ","Germany","19.05","8.18","1.17"
"2018","Iceland"," Croatia","4.31","3.94","1.84"
"2018","Nigeria"," Argentina","5.87","5.08","1.51"
"2018","Australia"," Peru","2.91","3.51","2.49"
"2018","Denmark","France","5.37","2.74","2.08"
"2018","Iran","Portugal","6.23","4.06","1.6"
"2018","Spain","Morocco","1.35","5.08","10.24"
"2018","Saudi Arabia ","Egypt","5.22","3.59","1.78"
"2018","Russia","Uruguay","2.93","3.05","2.76"
"2018","Poland"," Colombia","3.48","3.45","2.21"
"2018","Japan","Senegal","3.23","2.95","2.61"
"2018","England","Panama","1.22","6.33","18.11"
"2018","Germany ","Sweden","1.46","4.63","7.64"
"2018","South Korea "," Mexico","5.63","3.81","1.7"
"2018","Belgium ","Tunisia","1.33","5.15","11.78"
"2018","Serbia"," Switzerland","2.8","3.02","2.94"
"2018","Nigeria","Iceland","3","3.07","2.68"
"2018","Brazil","Costa Rica","1.21","6.69","18.8"
"2018","Argentina"," Croatia","2.1","3.27","4.09"
"2018","France ","Peru","1.61","3.89","6.56"
"2018","Denmark","Australia","1.93","3.4","4.58"
"2018","Iran"," Spain","19.51","6.79","1.2"
"2018","Uruguay","Saudi Arabia","1.21","6.75","18.4"
"2018","Portugal ","Morocco","1.69","3.72","6.11"
"2018","Russia","Egypt","1.97","3.54","4.26"
"2018","Poland"," Senegal","2.5","3.04","3.34"
"2018","Colombia"," Japan","1.88","3.33","5.13"
"2018","Tunisia"," England","8.73","4.26","1.48"
"2018","Belgium ","Panama","1.22","6.75","17.63"
"2018","Sweden","South Korea","2.25","3.05","3.91"
"2018","Brazil","Switzerland","1.47","4.38","8.28"
"2018","Germany "," Mexico","1.49","4.5","7.48"
"2018","Costa Rica"," Serbia","5.26","3.38","1.85"
"2018","Croatia","Nigeria","1.68","3.75","6.03"
"2018","Peru"," Denmark","3.65","3.09","2.34"
"2018","Argentina","Iceland","1.33","5.27","11.32"
"2018","France ","Australia","1.26","7.16","10.92"
"2018","Portugal ","Spain","4.39","3.23","2.04"
"2018","Morocco"," Iran","2.21","2.99","4.19"
"2018","Egypt"," Uruguay","8.23","4.1","1.51"
"2018","Russia","Saudi Arabia","1.46","4.3","8.99"
"2014","Germany ","Argentina","2.32","3.28","3.39"
"2014","Brazil"," Netherlands","2.17","3.7","3.26"
"2014","Netherlands","Argentina","3","3.22","2.56"
"2014","Brazil"," Germany","2.69","3.19","2.87"
"2014","Netherlands","Costa Rica","1.52","4.16","7.04"
"2014","Argentina","Belgium","2","3.33","4.16"
"2014","Brazil","Colombia","1.79","3.75","4.72"
"2014","France "," Germany","2.85","3.12","2.72"
"2014","Belgium ","USA","2.03","3.39","3.96"
"2014","Argentina","Switzerland","1.56","4.17","6.28"
"2014","Germany ","Algeria","1.31","5.57","10.19"
"2014","France ","Nigeria","1.41","4.61","8.63"
"2014","Costa Rica","Greece","2.65","3.07","2.97"
"2014","Netherlands","Mexico","2.11","3.35","3.72"
"2014","Colombia","Uruguay","2.13","3.33","3.69"
"2014","Brazil","Chile","1.53","4.42","6.17"
"2014","Algeria","Russia","3.65","3.65","2.02"
"2014","South Korea "," Belgium","4.64","3.55","1.83"
"2014","Portugal ","Ghana","1.78","4.68","3.74"
"2014","USA"," Germany","8.13","3.07","1.68"
"2014","Ecuador","France","5.42","4.12","1.62"
"2014","Honduras"," Switzerland","7","4.47","1.48"
"2014","Bosnia & Herzegovina ","Iran","2.23","3.53","3.21"
"2014","Nigeria"," Argentina","9.01","4.09","1.45"
"2014","Greece ","Ivory Coast","3.97","3.57","1.96"
"2014","Japan"," Colombia","3.44","3.71","2.07"
"2014","Costa Rica","England","4.3","3.94","1.79"
"2014","Italy"," Uruguay","2.54","3.46","2.77"
"2014"," Brazil","Cameroon","1.13","9.35","20.81"
"2014","Croatia"," Mexico","2.67","3.46","2.64"
"2014","Australia"," Spain","7.57","5.22","1.39"
"2014","Netherlands","Chile","2.65","3.52","2.63"
"2014","USA","Portugal","4.42","4.09","1.75"
"2014","South Korea "," Algeria","2.49","3.29","2.94"
"2014","Belgium ","Russia","2.21","3.34","3.42"
"2014","Nigeria","Bosnia & Herzegovina","4.23","3.65","1.87"
"2014","Germany ","Ghana","1.32","5.61","9.14"
"2014","Argentina","Iran","1.14","8.65","20.52"
"2014","Honduras"," Ecuador","5.7","4.11","1.6"
"2014","Switzerland"," France","4.46","3.51","1.87"
"2014","Italy"," Costa Rica","1.56","4.03","6.5"
"2014","Japan","Greece","2.37","3.4","3.05"
"2014","Uruguay","England","3.76","3.76","1.95"
"2014","Colombia","Ivory Coast","2.04","3.5","3.73"
"2014","Cameroon"," Croatia","5.38","3.9","1.67"
"2014","Spain"," Chile","1.57","4.45","5.52"
