date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2014,Algeria,Russia,draw,3.65,3.65,2.02,1,1,1.63,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,22.0,870.0,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,0
2010,Algeria,Slovenia,lose,3.6,3.12,2.16,0,1,1.44,77.0,77.0,78.0,76.0,72.5,71.5,71.56,69.56,26.0,784.0,31.0,767.0,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,-1
2006,Angola,Portugal,lose,9.0,3.75,1.33,0,1,7.67,72.0,73.0,71.0,72.0,81.94,82.33,81.44,80.44,61.0,568.0,10.0,753.0,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,-1
2014,Argentina,Belgium,win,2.0,3.33,4.16,1,0,-2.16,82.53,84.74,81.05,79.47,80.11,79.89,79.11,78.72,3.0,1251.0,11.0,1098.0,2.4200000000000017,4.849999999999994,1.9399999999999977,0.75,-8.0,153.0,1
2014,Argentina,Bosnia and Herzegovina,win,1.31,5.53,10.26,2,1,-8.95,82.53,84.74,81.05,79.47,74.0,77.0,75.0,72.0,3.0,1251.0,19.0,899.0,8.530000000000001,7.739999999999995,6.049999999999997,7.469999999999999,-16.0,352.0,1
2018,Argentina,Croatia,lose,2.1,3.27,4.09,0,3,-1.9899999999999998,82.53,84.74,81.05,79.47,78.12,78.5,76.75,74.62,4.0,1348.0,17.0,1048.0,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,-3
2010,Argentina,Germany,lose,2.3,3.22,3.16,0,4,-0.8600000000000003,82.53,84.74,81.05,79.47,83.83,82.44,83.11,81.22,8.0,1082.0,6.0,1173.0,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,-4
2018,Argentina,Iceland,draw,1.33,5.27,11.32,1,1,-9.99,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,22.0,959.0,11.86,13.239999999999995,9.879999999999995,10.14,-18.0,389.0,0
2014,Argentina,Iran,win,1.14,8.65,20.52,1,0,-19.38,82.53,84.74,81.05,79.47,75.0,81.0,73.0,72.0,3.0,1251.0,33.0,727.0,7.530000000000001,3.739999999999995,8.049999999999997,7.469999999999999,-30.0,524.0,1
2010,Argentina,Mexico,win,1.6,3.69,6.09,3,1,-4.49,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,8.0,1082.0,17.0,947.0,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-9.0,135.0,2
2006,Argentina,Mexico,win,1.37,4.08,9.39,2,1,-8.02,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,4.0,772.0,5.0,767.0,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-1.0,5.0,1
2010,Argentina,Nigeria,win,1.4,4.38,8.63,1,0,-7.23,82.53,84.74,81.05,79.47,77.5,78.5,71.5,75.0,8.0,1082.0,22.0,956.0,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,1
2010,Argentina,South Korea,win,1.5,3.85,7.55,4,1,-6.05,82.53,84.74,81.05,79.47,71.5,71.9,70.2,68.8,8.0,1082.0,52.0,634.0,11.030000000000001,12.83999999999999,10.849999999999994,10.670000000000002,-44.0,448.0,3
2014,Argentina,Switzerland,win,1.56,4.17,6.28,1,0,-4.720000000000001,82.53,84.74,81.05,79.47,76.94,74.88,75.81,76.44,3.0,1251.0,8.0,1113.0,5.590000000000003,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,1
2006,Australia,Japan,win,2.5,3.15,2.8,3,1,-0.2999999999999998,72.17,71.56,71.11,69.28,76.0,75.0,77.0,76.0,48.0,610.0,15.0,714.0,-3.8299999999999983,-3.4399999999999977,-5.890000000000001,-6.719999999999999,33.0,-104.0,2
