date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif,Elo_ranking_home,Elo_rating_home,total_game_home,total_wins_home,goal_for_home,goal_against_home,Elo_ranking_away,Elo_rating_away,total_game_away,total_wins_away,goal_for_away,goal_against_away,win_rate_home,goal_balance_home,win_rate_away,goal_balance_away,Elo_ranking_dif,Elo_rating_dif,win_rate_dif,goal_balance_dif
2014,Algeria,Russia,draw,3.65,3.65,2.02,1,1,1.63,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,22.0,870.0,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,0,42,1674,539,745,225,566,24,1779,667,1176,351,641,138.21892393320965,-0.6326530612244898,176.311844077961,-0.43478260869565216,18,-105,-38.09292014475136,-0.19787045252883767
2010,Algeria,Slovenia,lose,3.6,3.12,2.16,0,1,1.44,77.0,77.0,78.0,76.0,72.5,71.5,71.56,69.56,26.0,784.0,31.0,767.0,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,-1,98,1464,500,680,200,531,39,1694,170,212,59,219,136.0,-0.662,124.70588235294117,-0.9411764705882353,59,-230,11.294117647058826,0.27917647058823525
2006,Angola,Portugal,lose,9.0,3.75,1.33,0,1,7.67,72.0,73.0,71.0,72.0,81.94,82.33,81.44,80.44,61.0,568.0,10.0,753.0,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,-1,58,1592,246,307,96,266,10,1895,453,726,203,581,124.79674796747969,-0.6910569105691057,160.26490066225165,-0.8344370860927153,48,-303,-35.46815269477196,0.1433801755236096
2014,Argentina,Belgium,win,2.0,3.33,4.16,1,0,-2.16,82.53,84.74,81.05,79.47,80.11,79.89,79.11,78.72,3.0,1251.0,11.0,1098.0,2.4200000000000017,4.849999999999994,1.9399999999999977,0.75,-8.0,153.0,1,2,2050,964,1814,514,1037,12,1899,739,1266,301,1236,188.17427385892117,-0.5425311203319502,171.31258457374832,-1.2652232746955345,-10,151,16.861689285172844,0.7226921543635844
2014,Argentina,Bosnia and Herzegovina,win,1.31,5.53,10.26,2,1,-8.95,82.53,84.74,81.05,79.47,74.0,77.0,75.0,72.0,3.0,1251.0,19.0,899.0,8.530000000000001,7.739999999999995,6.049999999999997,7.469999999999999,-16.0,352.0,1,2,2050,964,1814,514,1037,35,1710,170,244,65,238,188.17427385892117,-0.5425311203319502,143.52941176470588,-1.0176470588235293,-33,340,44.644862094215284,0.4751159384915792
2018,Argentina,Croatia,lose,2.1,3.27,4.09,0,3,-1.9899999999999998,82.53,84.74,81.05,79.47,78.12,78.5,76.75,74.62,4.0,1348.0,17.0,1048.0,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,-3,13,1915,1017,1914,544,1081,10,1925,313,543,165,309,188.20058997050145,-0.528023598820059,173.48242811501598,-0.46006389776357826,3,-10,14.718161855485477,-0.06795970105648075
2010,Argentina,Germany,lose,2.3,3.22,3.16,0,4,-0.8600000000000003,82.53,84.74,81.05,79.47,83.83,82.44,83.11,81.22,8.0,1082.0,6.0,1173.0,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,-4,5,1992,905,1701,480,983,4,2067,851,1896,490,1011,187.95580110497238,-0.5558011049723757,222.7967097532315,-0.6122209165687427,1,-75,-34.84090864825913,0.056419811596367
2018,Argentina,Iceland,draw,1.33,5.27,11.32,1,1,-9.99,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,22.0,959.0,11.86,13.239999999999995,9.879999999999995,10.14,-18.0,389.0,0,13,1915,1017,1914,544,1081,46,1669,439,524,134,741,188.20058997050145,-0.528023598820059,119.36218678815489,-1.3826879271070616,-33,246,68.83840318234657,0.8546643282870026
2014,Argentina,Iran,win,1.14,8.65,20.52,1,0,-19.38,82.53,84.74,81.05,79.47,75.0,81.0,73.0,72.0,3.0,1251.0,33.0,727.0,7.530000000000001,3.739999999999995,8.049999999999997,7.469999999999999,-30.0,524.0,1,2,2050,964,1814,514,1037,44,1672,546,1012,297,444,188.17427385892117,-0.5425311203319502,185.34798534798534,-0.2692307692307692,-42,378,2.826288510935825,-0.27330035110118095
2010,Argentina,Mexico,win,1.6,3.69,6.09,3,1,-4.49,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,8.0,1082.0,17.0,947.0,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-9.0,135.0,2,5,1992,905,1701,480,983,11,1846,755,1383,381,803,187.95580110497238,-0.5558011049723757,183.17880794701986,-0.5589403973509933,-6,146,4.776993157952518,0.003139292378617653
2006,Argentina,Mexico,win,1.37,4.08,9.39,2,1,-8.02,82.53,84.74,81.05,79.47,76.94,77.28,76.17,75.0,4.0,772.0,5.0,767.0,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-1.0,5.0,1,5,1979,851,1605,445,934,19,1817,676,1241,337,726,188.60164512338423,-0.5746180963572268,183.57988165680473,-0.5754437869822485,-14,162,5.0217634665795,0.0008256906250216911
2010,Argentina,Nigeria,win,1.4,4.38,8.63,1,0,-7.23,82.53,84.74,81.05,79.47,77.5,78.5,71.5,75.0,8.0,1082.0,22.0,956.0,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,1,5,1992,905,1701,480,983,50,1653,524,779,239,552,187.95580110497238,-0.5558011049723757,148.66412213740458,-0.5973282442748091,-45,339,39.291678967567805,0.04152713930243346
2010,Argentina,South Korea,win,1.5,3.85,7.55,4,1,-6.05,82.53,84.74,81.05,79.47,71.5,71.9,70.2,68.8,8.0,1082.0,52.0,634.0,11.030000000000001,12.83999999999999,10.849999999999994,10.670000000000002,-44.0,448.0,3,5,1992,905,1701,480,983,30,1741,840,1557,460,755,187.95580110497238,-0.5558011049723757,185.35714285714286,-0.35119047619047616,-25,251,2.598658247829519,-0.2046106287818995
2014,Argentina,Switzerland,win,1.56,4.17,6.28,1,0,-4.720000000000001,82.53,84.74,81.05,79.47,76.94,74.88,75.81,76.44,3.0,1251.0,8.0,1113.0,5.590000000000003,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,1,2,2050,964,1814,514,1037,21,1792,763,1100,256,1340,188.17427385892117,-0.5425311203319502,144.16775884665793,-1.4207077326343382,-19,258,44.006515012263236,0.8781766123023881
2006,Australia,Japan,win,2.5,3.15,2.8,3,1,-0.2999999999999998,72.17,71.56,71.11,69.28,76.0,75.0,77.0,76.0,48.0,610.0,15.0,714.0,-3.8299999999999983,-3.4399999999999977,-5.890000000000001,-6.719999999999999,33.0,-104.0,2,30,1763,411,898,211,484,40,1729,550,924,241,730,218.49148418491487,-0.6642335766423357,168.0,-0.889090909090909,-10,34,50.49148418491487,0.2248573324485733
2014,Australia,Netherlands,lose,13.23,6.55,1.23,2,3,12.0,72.17,71.56,71.11,69.28,81.0,81.47,80.29,78.88,58.0,571.0,9.0,1106.0,-8.829999999999998,-9.909999999999997,-9.180000000000007,-9.599999999999994,49.0,-535.0,-1,49,1653,512,1054,259,592,4,2030,770,1599,390,1004,205.859375,-0.650390625,207.66233766233765,-0.7974025974025974,45,-377,-1.8029626623376487,0.14701197240259745
2018,Australia,Peru,lose,2.91,3.51,2.49,0,2,0.41999999999999993,72.17,71.56,71.11,69.28,71.6,73.1,70.7,69.5,38.0,763.0,11.0,1128.0,0.5700000000000074,-1.539999999999992,0.4099999999999966,-0.21999999999999886,27.0,-365.0,-2,35,1735,560,1150,284,639,16,1855,628,790,204,895,205.35714285714283,-0.6339285714285714,125.79617834394905,-1.1003184713375795,19,-120,79.56096451319378,0.46638989990900814
2010,Australia,Serbia,win,4.25,3.55,1.85,2,1,2.4,72.17,71.56,71.11,69.28,77.67,78.67,77.33,74.33,21.0,857.0,19.0,916.0,-5.5,-7.109999999999999,-6.219999999999999,-5.049999999999997,2.0,-59.0,1,22,1776,459,957,235,525,27,1743,698,1377,332,991,208.4967320261438,-0.6318082788671024,197.27793696275072,-0.9441260744985673,-5,33,11.218795063393088,0.3123177956314649
2014,Australia,Spain,lose,7.57,5.22,1.39,0,3,6.180000000000001,72.17,71.56,71.11,69.28,84.61,83.06,84.44,82.83,58.0,571.0,1.0,1507.0,-12.439999999999998,-11.5,-13.329999999999998,-13.549999999999997,57.0,-936.0,-3,49,1653,512,1054,259,592,8,1954,644,1266,373,594,205.859375,-0.650390625,196.58385093167703,-0.34316770186335405,41,-301,9.275524068322966,-0.30722292313664595
2014,Belgium,Algeria,win,1.33,5.26,10.15,2,1,-8.82,80.11,79.89,79.11,78.72,77.0,77.0,78.0,76.0,11.0,1098.0,26.0,792.0,3.1099999999999994,2.8900000000000006,1.1099999999999994,2.719999999999999,-15.0,306.0,1,12,1899,739,1266,301,1236,42,1674,539,745,225,566,171.31258457374832,-1.2652232746955345,138.21892393320965,-0.6326530612244898,-30,225,33.09366064053867,-0.6325702134710447
2018,Belgium,England,win,2.19,3.79,3.24,2,0,-1.0500000000000003,80.11,79.89,79.11,78.72,82.44,83.5,81.56,81.06,5.0,1325.0,15.0,1047.0,-2.3299999999999983,-3.6099999999999994,-2.450000000000003,-2.3400000000000034,-10.0,278.0,2,3,2035,790,1400,338,1285,7,1960,1065,2477,617,1061,177.2151898734177,-1.1987341772151898,232.58215962441312,-0.4169014084507042,-4,75,-55.36696975099542,-0.7818327687644856
2018,Belgium,Japan,win,1.42,4.72,8.93,3,2,-7.51,80.11,79.89,79.11,78.72,76.0,75.0,77.0,76.0,5.0,1325.0,57.0,598.0,4.109999999999999,4.890000000000001,2.1099999999999994,2.719999999999999,-52.0,727.0,1,3,2035,790,1400,338,1285,36,1731,731,1266,339,906,177.2151898734177,-1.1987341772151898,173.187414500684,-0.7756497948016415,-33,304,4.027775372733686,-0.4230843824135483
2018,Belgium,Panama,win,1.22,6.75,17.63,3,0,-16.41,80.11,79.89,79.11,78.72,68.0,68.0,70.0,68.0,5.0,1325.0,55.0,636.0,12.11,11.89,9.11,10.719999999999999,-50.0,689.0,3,3,2035,790,1400,338,1285,65,1568,490,580,151,773,177.2151898734177,-1.1987341772151898,118.36734693877551,-1.2693877551020407,-62,467,58.84784293464219,0.0706535778868509
2014,Belgium,Russia,win,2.21,3.34,3.42,1,0,-1.21,80.11,79.89,79.11,78.72,77.53,77.53,76.2,75.4,11.0,1098.0,22.0,870.0,2.5799999999999983,2.3599999999999994,2.9099999999999966,3.319999999999993,-11.0,228.0,1,12,1899,739,1266,301,1236,24,1779,667,1176,351,641,171.31258457374832,-1.2652232746955345,176.311844077961,-0.43478260869565216,-12,120,-4.999259504212688,-0.8304406659998824
2018,Belgium,Tunisia,win,1.33,5.15,11.78,5,2,-10.45,80.11,79.89,79.11,78.72,71.0,69.5,70.0,71.0,5.0,1325.0,27.0,915.0,9.11,10.39,9.11,7.719999999999999,-22.0,410.0,3,3,2035,790,1400,338,1285,48,1650,657,931,269,746,177.2151898734177,-1.1987341772151898,141.7047184170472,-0.726027397260274,-45,385,35.51047145637051,-0.47270677995491583
2014,Belgium,United States,win,2.03,3.39,3.96,2,1,-1.9300000000000002,80.11,79.89,79.11,78.72,74.39,74.0,73.67,72.5,11.0,1098.0,14.0,1019.0,5.719999999999999,5.890000000000001,5.439999999999998,6.219999999999999,-3.0,79.0,1,12,1899,739,1266,301,1236,19,1813,640,901,267,896,171.31258457374832,-1.2652232746955345,140.78125,-0.9828125,-7,86,30.531334573748325,-0.28241077469553455
2014,Bosnia and Herzegovina,Iran,win,2.23,3.53,3.21,3,1,-0.98,74.0,77.0,75.0,72.0,75.0,81.0,73.0,72.0,19.0,899.0,33.0,727.0,-1.0,-4.0,2.0,0.0,-14.0,172.0,2,35,1710,170,244,65,238,44,1672,546,1012,297,444,143.52941176470588,-1.0176470588235293,185.34798534798534,-0.2692307692307692,-9,38,-41.81857358327946,-0.7484162895927602
2006,Brazil,Australia,win,1.2,5.0,11.0,2,0,-9.8,82.67,83.17,81.22,82.22,72.17,71.56,71.11,69.28,1.0,839.0,48.0,610.0,10.5,11.61,10.11,12.939999999999998,-47.0,229.0,2,1,2081,808,1764,502,778,30,1763,411,898,211,484,218.31683168316835,-0.3415841584158416,218.49148418491487,-0.6642335766423357,-29,318,-0.1746525017465217,0.3226494182264941
2018,Brazil,Belgium,lose,2.13,3.43,3.74,1,2,-1.6100000000000003,82.67,83.17,81.22,82.22,80.11,79.89,79.11,78.72,2.0,1483.0,5.0,1325.0,2.5600000000000023,3.280000000000001,2.1099999999999994,3.5,-3.0,158.0,-1,1,2136,982,2131,623,893,3,2035,790,1400,338,1285,217.00610997963338,-0.27494908350305497,177.2151898734177,-1.1987341772151898,-2,101,39.79092010621568,0.9237850937121348
2014,Brazil,Cameroon,win,1.13,9.35,20.81,4,1,-19.68,82.67,83.17,81.22,82.22,74.31,74.56,72.81,72.75,10.0,1102.0,50.0,616.0,8.36,8.61,8.409999999999997,9.469999999999999,-40.0,486.0,3,3,2042,930,2027,585,869,51,1644,531,789,233,597,217.95698924731184,-0.3053763440860215,148.58757062146893,-0.6854990583804144,-48,398,69.36941862584291,0.38012271429439287
2014,Brazil,Chile,draw,1.53,4.42,6.17,1,1,-4.64,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,10.0,1102.0,15.0,1005.0,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,0,3,2042,930,2027,585,869,7,1963,714,1020,269,1046,217.95698924731184,-0.3053763440860215,142.85714285714286,-1.088235294117647,-4,79,75.09984639016898,0.7828589500316254
2010,Brazil,Chile,win,1.52,3.92,6.67,3,0,-5.15,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,2.0,1568.0,15.0,955.0,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-13.0,613.0,3,3,2095,866,1884,542,817,9,1894,658,919,241,980,217.55196304849886,-0.31755196304849886,139.66565349544072,-1.1231003039513678,-6,201,77.88630955305814,0.805548340902869
2014,Brazil,Colombia,win,1.79,3.75,4.72,2,1,-2.9299999999999997,82.67,83.17,81.22,82.22,77.9,79.2,77.6,75.9,10.0,1102.0,4.0,1200.0,4.769999999999996,3.969999999999999,3.6200000000000045,6.319999999999993,6.0,-98.0,1,3,2042,930,2027,585,869,5,2019,515,641,198,631,217.95698924731184,-0.3053763440860215,124.46601941747572,-0.8407766990291262,-2,23,93.49096982983612,0.5354003549431048
2018,Brazil,Costa Rica,win,1.21,6.69,18.8,2,0,-17.59,82.67,83.17,81.22,82.22,73.0,73.0,73.0,74.0,2.0,1483.0,26.0,831.0,9.670000000000002,10.170000000000002,8.219999999999999,8.219999999999999,-24.0,652.0,2,1,2136,982,2131,623,893,40,1724,691,1234,319,797,217.00610997963338,-0.27494908350305497,178.58176555716355,-0.6917510853835022,-39,412,38.42434442246983,0.4168020018804472
2014,Brazil,Croatia,win,1.32,5.16,11.26,3,1,-9.94,82.67,83.17,81.22,82.22,78.12,78.5,76.75,74.62,10.0,1102.0,16.0,971.0,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-6.0,131.0,2,3,2042,930,2027,585,869,17,1825,263,457,138,262,217.95698924731184,-0.3053763440860215,173.7642585551331,-0.4714828897338403,-14,217,44.19273069217874,0.1661065456478188
2006,Brazil,Croatia,win,1.4,3.5,8.0,1,0,-6.6,82.67,83.17,81.22,82.22,78.12,78.5,76.75,74.62,1.0,839.0,20.0,701.0,4.549999999999997,4.670000000000002,4.469999999999999,7.599999999999994,-19.0,138.0,1,1,2081,808,1764,502,778,9,1897,174,302,84,180,218.31683168316835,-0.3415841584158416,173.5632183908046,-0.5517241379310345,-8,184,44.75361329236375,0.21013997951519287
2006,Brazil,France,lose,1.74,3.25,5.08,0,1,-3.34,82.67,83.17,81.22,82.22,83.28,83.28,82.56,81.72,1.0,839.0,5.0,768.0,-0.6099999999999994,-0.10999999999999943,-1.3400000000000034,0.5,-4.0,71.0,-1,1,2081,808,1764,502,778,2,2062,686,1232,320,1073,218.31683168316835,-0.3415841584158416,179.59183673469389,-1.097667638483965,-1,19,38.72499494847446,0.7560834800681233
2014,Brazil,Germany,lose,2.69,3.19,2.87,1,7,-0.18000000000000016,82.67,83.17,81.22,82.22,83.83,82.44,83.11,81.22,10.0,1102.0,2.0,1318.0,-1.1599999999999966,0.730000000000004,-1.8900000000000006,1.0,8.0,-216.0,-6,3,2042,930,2027,585,869,1,2134,907,2036,527,1080,217.95698924731184,-0.3053763440860215,224.4762954796031,-0.6097023153252481,2,-92,-6.519306232291257,0.3043259712392266
2006,Brazil,Ghana,win,1.26,5.16,10.25,3,0,-8.99,82.67,83.17,81.22,82.22,76.0,79.5,74.5,73.5,1.0,839.0,50.0,608.0,6.670000000000002,3.6700000000000017,6.719999999999999,8.719999999999999,-49.0,231.0,3,1,2081,808,1764,502,778,34,1755,528,880,261,561,218.31683168316835,-0.3415841584158416,166.66666666666669,-0.5681818181818182,-33,326,51.65016501650166,0.22659765976597662
2010,Brazil,Ivory Coast,win,1.72,3.44,5.32,3,1,-3.6000000000000005,82.67,83.17,81.22,82.22,76.0,77.6,75.8,73.8,2.0,1568.0,16.0,865.0,6.670000000000002,5.570000000000007,5.420000000000002,8.420000000000002,-14.0,703.0,2,3,2095,866,1884,542,817,35,1716,496,792,244,514,217.55196304849886,-0.31755196304849886,159.6774193548387,-0.5443548387096774,-32,379,57.87454369366017,0.22680287566117852
2018,Brazil,Mexico,win,1.5,4.38,7.58,2,0,-6.08,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,2.0,1483.0,16.0,1032.0,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-14.0,451.0,2,1,2136,982,2131,623,893,22,1787,904,1620,462,946,217.00610997963338,-0.27494908350305497,179.20353982300884,-0.5353982300884956,-21,349,37.80257015662454,0.26044914658544066
2014,Brazil,Mexico,draw,1.33,5.33,9.34,0,0,-8.01,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,10.0,1102.0,21.0,892.0,5.730000000000004,5.890000000000001,5.049999999999997,7.219999999999999,-11.0,210.0,0,3,2042,930,2027,585,869,13,1892,826,1505,420,863,217.95698924731184,-0.3053763440860215,182.20338983050848,-0.5363196125907991,-10,150,35.753599416803354,0.2309432685047776
