,Year,date,home_team,away_team,home_score,away_score,home_ranking,away_ranking,rank_dif,goal_dif
0,2006,2006-01-05,Egypt,Zimbabwe,2,0,9,,,2
1,2006,2006-01-14,Egypt,South Africa,1,2,9,,,-1
2,2006,2006-01-20,Egypt,Libya,3,0,9,,,3
3,2006,2006-01-22,United States,Canada,0,0,8,,,0
4,2006,2006-01-23,Nigeria,Ghana,1,0,9,,,1
5,2006,2006-01-24,Egypt,Morocco,0,0,9,,,0
6,2006,2006-01-25,Mexico,Norway,2,1,9,,,1
7,2006,2006-01-27,Nigeria,Zimbabwe,2,0,9,,,2
8,2006,2006-01-28,Egypt,Ivory Coast,3,1,9,,,2
9,2006,2006-01-29,South Korea,Croatia,2,0,,6,,2
10,2006,2006-01-29,United States,Norway,5,0,8,,,5
11,2006,2006-01-31,Nigeria,Senegal,2,1,9,,,1
12,2006,2006-02-01,Hong Kong,Croatia,0,4,,6,,-4
13,2006,2006-02-03,Egypt,DR Congo,4,1,9,,,3
14,2006,2006-02-04,Nigeria,Tunisia,1,1,9,,,0
15,2006,2006-02-07,Egypt,Senegal,2,1,9,,,1
16,2006,2006-02-07,Nigeria,Ivory Coast,0,1,9,,,-1
17,2006,2006-02-09,Senegal,Nigeria,0,1,,9,,-1
18,2006,2006-02-10,Egypt,Ivory Coast,0,0,9,,,0
19,2006,2006-02-10,United States,Japan,3,2,8,,,1
20,2006,2006-02-15,Mexico,South Korea,0,1,9,,,-1
21,2006,2006-02-19,United States,Guatemala,4,0,8,,,4
22,2006,2006-03-01,Argentina,Croatia,2,3,5,6,-1,-1
23,2006,2006-03-01,Austria,Canada,0,2,10,,,-2
24,2006,2006-03-01,England,Uruguay,2,1,4,8,-4,1
25,2006,2006-03-01,France,Slovakia,1,2,3,,,-1
26,2006,2006-03-01,Israel,Denmark,0,2,,9,,-2
27,2006,2006-03-01,Italy,Germany,4,1,6,1,5,3
28,2006,2006-03-01,Luxembourg,Belgium,0,2,,1,,-2
29,2006,2006-03-01,Mexico,Ghana,1,0,9,,,1
30,2006,2006-03-01,Netherlands,Ecuador,1,0,10,,,1
31,2006,2006-03-01,Poland,United States,0,1,7,8,-1,-1
32,2006,2006-03-01,Russia,Brazil,0,1,9,2,7,-1
33,2006,2006-03-01,Saudi Arabia,Portugal,0,3,,8,,-3
34,2006,2006-03-01,Scotland,Switzerland,1,3,,8,,-2
35,2006,2006-03-01,Spain,Ivory Coast,3,2,7,,,1
36,2006,2006-03-01,Turkey,Czech Republic,2,2,10,6,4,0
37,2006,2006-03-01,Venezuela,Colombia,1,1,,10,,0
38,2006,2006-03-22,Germany,United States,4,1,1,8,-7,3
39,2006,2006-03-28,Saudi Arabia,Poland,1,2,,7,,-1
40,2006,2006-03-29,Mexico,Paraguay,2,1,9,,,1
41,2006,2006-04-11,United States,Jamaica,1,1,8,,,0
42,2006,2006-04-12,Azerbaijan,Turkey,1,1,,10,,0
43,2006,2006-04-25,Chile,New Zealand,4,1,10,,,3
44,2006,2006-04-27,Chile,New Zealand,1,0,10,,,1
45,2006,2006-05-02,Poland,Lithuania,0,1,7,,,-1
46,2006,2006-05-05,Mexico,Venezuela,1,0,9,,,1
47,2006,2006-05-11,Belgium,Saudi Arabia,2,1,1,,,1
48,2006,2006-05-12,Mexico,DR Congo,2,1,9,,,1
49,2006,2006-05-14,Poland,Faroe Islands,4,0,7,,,4
50,2006,2006-05-20,Slovakia,Belgium,1,1,,1,,0
51,2006,2006-05-21,Northern Ireland,Uruguay,0,1,,8,,-1
52,2006,2006-05-23,Austria,Croatia,1,4,10,6,4,-3
53,2006,2006-05-23,Romania,Uruguay,0,2,,8,,-2
54,2006,2006-05-23,United States,Morocco,0,1,8,,,-1
55,2006,2006-05-24,Belgium,Turkey,3,3,1,10,-9,0
56,2006,2006-05-24,Colombia,Ecuador,1,1,10,,,0
57,2006,2006-05-24,Republic of Ireland,Chile,0,1,,10,,-1
58,2006,2006-05-26,Czech Republic,Saudi Arabia,2,0,6,,,2
59,2006,2006-05-26,Turkey,Ghana,1,1,10,,,0
60,2006,2006-05-26,United States,Venezuela,2,0,8,,,2
61,2006,2006-05-27,Denmark,Paraguay,1,1,9,,,0
62,2006,2006-05-27,France,Mexico,1,0,3,9,-6,1
63,2006,2006-05-27,Germany,Luxembourg,7,0,1,,,7
64,2006,2006-05-27,Netherlands,Cameroon,1,0,10,,,1
