Country_Code,Total_Points,Previous_Rank,Year
BRA,839,1,2006
CZE,796,2,2006
NED,790,3,2006
ARG,772,4,2006
ESP,768,5,2006
FRA,768,5,2006
MEX,767,5,2006
USA,767,8,2006
ENG,757,9,2006
POR,753,10,2006
TUR,748,11,2006
ITA,741,12,2006
DEN,733,13,2006
SWE,731,14,2006
JPN,714,15,2006
GRE,708,16,2006
GER,707,16,2006
URU,705,18,2006
IRN,703,19,2006
CRO,701,20,2006
CRC,700,21,2006
POL,695,22,2006
CMR,694,23,2006
COL,692,24,2006
NGA,692,24,2006
IRL,691,24,2006
ROU,686,27,2006
TUN,685,28,2006
KOR,680,29,2006
PAR,672,30,2006
SEN,672,30,2006
EGY,666,32,2006
KSA,663,33,2006
RUS,661,34,2006
MAR,660,36,2006
SUI,655,35,2006
NOR,649,38,2006
ECU,647,37,2006
BUL,638,39,2006
UKR,629,40,2006
HON,628,41,2006
CIV,626,42,2006
JAM,626,42,2006
ISR,621,44,2006
SVK,621,45,2006
FIN,614,46,2006
SRB,612,47,2006
AUS,610,48,2006
RSA,609,49,2006
GHA,608,50,2006
TRI,608,50,2006
BHR,603,52,2006
ZIM,599,53,2006
IRQ,597,54,2006
BEL,595,55,2006
GUA,585,56,2006
TOG,585,56,2006
ZAM,584,58,2006
UZB,573,59,2006
SCO,572,60,2006
BLR,570,61,2006
MLI,569,63,2006
ANG,568,61,2006
BIH,561,65,2006
CHI,561,64,2006
PER,560,66,2006
LVA,560,69,2006
VEN,555,67,2006
SVN,553,68,2006
HUN,552,74,2006
AUT,550,69,2006
WAL,549,71,2006
CHN,547,72,2006
KUW,547,72,2006
CUB,546,75,2006
EST,543,76,2006
GUI,541,79,2006
COD,536,77,2006
PAN,536,78,2006
ALG,522,80,2006
LBY,522,80,2006
PRK,520,82,2006
ALB,517,82,2006
CAN,511,84,2006
UAE,509,85,2006
JOR,503,86,2006
BFA,502,87,2006
MKD,502,87,2006
QAT,493,95,2006
KEN,487,89,2006
RWA,487,89,2006
OMA,483,91,2006
SGP,483,92,2006
SDN,483,92,2006
ISL,482,94,2006
UGA,475,101,2006
BOL,472,96,2006
CYP,472,96,2006
BOT,466,101,2006
HAI,465,98,2006
SYR,465,98,2006
LTU,463,100,2006
NIR,460,103,2006
GAB,459,104,2006
GEO,458,104,2006
MWI,451,106,2006
MDA,441,107,2006
ARM,431,108,2006
THA,422,111,2006
IDN,417,109,2006
CGO,411,110,2006
ETH,399,112,2006
BEN,396,113,2006
AZE,394,114,2006
BRB,386,115,2006
TKM,385,116,2006
HKG,383,117,2006
IND,381,127,2006
MLT,371,118,2006
CPV,371,118,2006
NZL,368,120,2006
VIE,368,120,2006
LIE,366,122,2006
MAS,358,123,2006
SLV,357,124,2006
LBN,356,125,2006
AND,356,125,2006
LCA,344,128,2006
SKN,337,129,2006
MOZ,336,130,2006
VIN,335,130,2006
FRO,324,132,2006
MDV,323,133,2006
SWZ,322,134,2006
FIJ,317,135,2006
LBR,317,135,2006
KAZ,314,137,2006
PLE,314,137,2006
YEM,310,139,2006
SOL,303,140,2006
TAH,299,141,2006
TJK,299,141,2006
BAN,296,160,2006
MRI,283,143,2006
SRI,281,144,2006
LES,267,145,2006
VAN,266,146,2006
BDI,265,147,2006
MYA,265,147,2006
MAD,264,149,2006
LUX,256,150,2006
GRN,249,151,2006
NCA,244,152,2006
SUR,244,152,2006
ATG,242,154,2006
TPE,237,156,2006
SMR,237,155,2006
PAK,236,158,2006
KGZ,235,157,2006
CHA,229,159,2006
BER,219,161,2006
NAM,219,161,2006
SLE,213,163,2006
GAM,205,164,2006
TAN,196,165,2006
PNG,190,166,2006
GUY,185,167,2006
ERI,182,169,2006
LAO,180,170,2006
VGB,176,171,2006
DMA,171,172,2006
EQG,168,173,2006
DOM,157,174,2006
NEP,153,175,2006
SEY,152,176,2006
NIG,144,177,2006
MTN,139,178,2006
MNG,137,179,2006
BLZ,134,180,2006
CAY,133,181,2006
SAM,131,182,2006
CTA,128,183,2006
SOM,111,184,2006
TGA,110,185,2006
GNB,109,186,2006
NCL,104,187,2006
CAM,95,188,2006
AFG,85,189,2006
BHU,84,190,2006
PHI,77,191,2006
MAC,75,192,2006
BAH,68,193,2006
COK,65,194,2006
PUR,62,195,2006
VIR,58,196,2006
STP,55,197,2006
AIA,52,198,2006
BRU,49,199,2006
ARU,46,200,2006
DJI,46,200,2006
MSR,30,202,2006
TCA,22,203,2006
GUM,20,204,2006
ASA,15,205,2006
BRA,1588,1,2007
ITA,1560,2,2007
ARG,1551,3,2007
FRA,1523,4,2007
GER,1363,6,2007
ENG,1359,5,2007
NED,1305,7,2007
POR,1258,8,2007
NGA,1244,9,2007
CZE,1190,10,2007
CMR,1160,11,2007
ESP,1154,12,2007
UKR,1054,13,2007
SWE,958,14,2007
CRO,948,15,2007
GRE,945,16,2007
SUI,937,17,2007
CIV,919,18,2007
EGY,918,27,2007
ROU,912,19,2007
MEX,883,20,2007
GUI,881,23,2007
DEN,865,21,2007
RUS,858,22,2007
POL,854,24,2007
SCO,847,25,2007
TUR,845,26,2007
GHA,828,28,2007
ECU,822,30,2007
URU,806,29,2007
USA,792,31,2007
TUN,784,32,2007
SRB,765,33,2007
COL,755,34,2007
PAR,745,35,2007
MLI,731,36,2007
SVK,720,37,2007
IRN,720,38,2007
AUS,703,39,2007
CHI,700,41,2007
SEN,699,41,2007
MAR,684,39,2007
BUL,684,43,2007
ISR,667,44,2007
UZB,645,45,2007
JPN,640,47,2007
NIR,625,48,2007
CUB,619,46,2007
IRL,596,49,2007
NOR,587,50,2007
KOR,574,51,2007
FIN,569,52,2007
BEL,563,53,2007
MKD,545,54,2007
ANG,540,55,2007
HON,538,56,2007
JAM,527,57,2007
BIH,511,59,2007
QAT,503,58,2007
COD,502,66,2007
HUN,494,62,2007
BFA,491,61,2007
ZAM,485,62,2007
KSA,482,64,2007
AUT,473,65,2007
TOG,460,60,2007
CRC,460,68,2007
LTU,455,69,2007
RSA,454,67,2007
BLR,447,70,2007
PER,447,70,2007
ZIM,436,76,2007
VEN,434,73,2007
WAL,428,73,2007
CYP,428,73,2007
KUW,417,78,2007
SVN,414,77,2007
CPV,413,78,2007
ALG,413,80,2007
PAN,411,81,2007
CAN,399,82,2007
IRQ,394,83,2007
CHN,389,84,2007
OMA,383,72,2007
MDA,382,86,2007
ALB,375,87,2007
TRI,372,91,2007
UAE,371,87,2007
CGO,370,89,2007
LVA,357,90,2007
ETH,356,92,2007
HAI,346,102,2007
ISL,335,93,2007
JOR,334,95,2007
GEO,327,94,2007
GAB,326,95,2007
BHR,321,97,2007
LBY,318,99,2007
BRB,309,98,2007
GUY,303,100,2007
BOL,300,101,2007
UGA,292,103,2007
MWI,287,104,2007
VIN,285,85,2007
GUA,282,105,2007
EST,279,106,2007
BOT,269,108,2007
EQG,262,109,2007
TAN,251,110,2007
LBN,232,126,2007
SYR,231,112,2007
LBR,230,115,2007
SDN,230,120,2007
SUR,229,122,2007
BEN,227,114,2007
NAM,227,116,2007
HKG,225,117,2007
MLT,223,119,2007
RWA,219,121,2007
BDI,218,117,2007
BER,206,107,2007
MTN,202,133,2007
ARM,196,123,2007
THA,192,137,2007
TJK,190,124,2007
SGP,189,111,2007
AZE,182,125,2007
KEN,180,127,2007
MOZ,174,128,2007
SEY,173,130,2007
PLE,172,128,2007
NZL,172,131,2007
PRK,169,113,2007
VIE,167,172,2007
GAM,163,134,2007
DOM,157,136,2007
ATG,153,132,2007
KGZ,149,139,2007
ERI,146,140,2007
YEM,143,141,2007
CHA,142,142,2007
KAZ,139,135,2007
SKN,137,143,2007
MRI,131,138,2007
SRI,118,145,2007
MYA,118,154,2007
BAH,113,146,2007
NIG,112,147,2007
IDN,111,153,2007
LAO,109,151,2007
BAN,108,144,2007
SWZ,108,148,2007
SLE,108,148,2007
FIJ,107,150,2007
TKM,96,155,2007
SLV,91,156,2007
MAS,90,152,2007
IND,90,157,2007
LIE,84,158,2007
MDV,81,158,2007
LES,81,160,2007
SOL,81,160,2007
GRN,78,163,2007
LCA,77,160,2007
AND,76,164,2007
TPE,73,166,2007
VAN,70,167,2007
NCA,69,168,2007
TCA,64,169,2007
NEP,63,170,2007
PAK,62,164,2007
TAH,55,173,2007
BRU,53,175,2007
NCL,51,176,2007
CAM,49,174,2007
PNG,47,178,2007
AFG,43,180,2007
PHI,43,171,2007
CTA,40,179,2007
MNG,31,181,2007
FRO,31,181,2007
DMA,31,181,2007
MAD,30,184,2007
MAC,28,185,2007
LUX,27,186,2007
COM,26,207,2007
SAM,22,187,2007
TGA,21,188,2007
CAY,20,189,2007
BHU,19,192,2007
VGB,18,190,2007
GNB,18,191,2007
SOM,13,193,2007
SMR,11,194,2007
PUR,10,195,2007
AIA,6,196,2007
COK,3,197,2007
