Elo_ranking,Country_simp,Elo_rating,avg_rank,avg_rating,total_game,total_wins,total_lose,total_draw,goal_for,goal_against,year
1,Brazil,2081,5,1984,808,502,137,169,1764,778,2006
2,France,2062,18,1756,686,320,225,141,1232,1073,2006
3,Italy,2020,8,1911,662,355,132,175,1173,669,2006
4,Netherlands,1991,16,1821,662,321,194,147,1371,917,2006
5,Argentina,1979,5,1982,851,445,193,213,1605,934,2006
6,Germany,1977,8,1892,795,452,178,165,1770,969,2006
7,England,1960,4,1982,922,532,177,213,2206,946,2006
8,Denmark,1902,20,1793,692,318,242,132,1304,1007,2006
9,Croatia,1897,12,1878,174,84,37,53,302,180,2006
10,Portugal,1895,21,1763,453,203,148,102,726,581,2006
11,Czech Republic,1886,11,1871,673,328,195,150,1297,862,2006
12,Spain,1884,8,1922,526,279,112,135,1003,517,2006
13,Romania,1874,26,1715,594,266,185,143,997,789,2006
14,Sweden,1870,15,1794,881,432,256,193,1852,1218,2006
15,Switzerland,1847,29,1660,680,217,318,145,978,1253,2006
16,Turkey,1843,44,1581,440,154,183,103,578,690,2006
17,Greece,1839,51,1521,441,153,184,104,555,682,2006
18,Uruguay,1821,12,1875,777,333,259,185,1226,1000,2006
19,Mexico,1817,21,1761,676,337,177,162,1241,726,2006
20,Ukraine,1806,44,1670,130,51,38,41,158,131,2006
21,Colombia,1790,58,1540,419,148,154,117,502,548,2006
22,Cameroon,1787,52,1593,443,193,117,133,664,504,2006
23,Nigeria,1785,40,1659,475,216,127,132,718,515,2006
24,Poland,1780,29,1704,688,296,232,160,1181,983,2006
25,United States,1775,44,1614,502,192,198,112,671,737,2006
26,Russia,1773,23,1733,580,305,123,152,1035,571,2006
27,Ivory Coast,1772,45,1628,437,211,117,109,683,465,2006
28,Iran,1768,42,1631,428,233,97,98,822,360,2006
29,Norway,1766,38,1602,694,242,295,157,1062,1234,2006
30,Australia,1763,34,1659,411,211,117,83,898,484,2006
31,Serbia,1761,18,1789,652,310,203,139,1302,949,2006
32,Paraguay,1760,22,1757,569,211,215,143,774,841,2006
33,Ecuador,1759,74,1447,377,101,181,95,420,649,2006
34,Ghana,1755,42,1651,528,261,138,129,880,561,2006
35,Ireland,1747,22,1612,531,185,224,122,716,944,2006
36,Austria,1738,11,1901,688,332,201,155,1250,844,2006
37,Honduras,1737,62,1476,386,157,122,107,605,509,2006
38,Chile,1736,30,1647,594,207,258,129,837,914,2006
38,Bulgaria,1736,37,1635,595,224,226,145,875,897,2006
40,Japan,1729,68,1398,550,241,198,111,924,730,2006
41,Egypt,1725,33,1667,613,296,161,156,1074,688,2006
42,Slovakia,1717,35,1684,167,65,61,41,238,231,2006
43,Israel,1713,48,1614,360,134,139,87,555,511,2006
44,Finland,1686,63,1473,622,145,352,125,747,1442,2006
45,Belgium,1674,23,1736,656,263,254,139,1140,1134,2006
46,South Korea,1668,36,1672,780,432,158,190,1477,708,2006
47,Senegal,1655,58,1568,473,193,150,130,601,477,2006
48,Morocco,1653,40,1664,500,231,123,146,715,466,2006
49,Tunisia,1644,51,1602,520,209,169,142,725,607,2006
50,Costa Rica,1633,34,1690,492,239,149,104,967,585,2006
51,Peru,1630,35,1661,488,153,214,121,631,723,2006
52,Scotland,1629,17,1830,664,280,243,141,1243,1082,2006
53,Venezuela,1626,96,1349,253,55,155,43,256,555,2006
54,Jamaica,1610,86,1376,465,174,182,109,612,649,2006
55,Iraq,1599,43,1633,462,238,101,123,852,417,2006
