date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2014,Algeria,Russia,draw,3.65,3.65,2.02,1,1,1.63,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,22.0,870.0,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,0
2018,Argentina,Iceland,draw,1.33,5.27,11.32,1,1,-9.99,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,22.0,959.0,11.86,13.239999999999995,9.879999999999997,10.14,-18.0,389.0,0
2014,Brazil,Chile,draw,1.53,4.42,6.17,1,1,-4.64,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,10.0,1102.0,15.0,1005.0,6.070000000000008,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,0
2014,Brazil,Mexico,draw,1.33,5.33,9.34,0,0,-8.01,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,10.0,1102.0,21.0,892.0,5.730000000000004,5.8900000000000015,5.049999999999997,7.219999999999999,-11.0,210.0,0
2018,Brazil,Switzerland,draw,1.47,4.38,8.28,1,1,-6.81,82.67,83.17,81.22,82.22,76.94,74.88,75.81,76.44,2.0,1483.0,8.0,1190.0,5.730000000000004,8.290000000000006,5.4099999999999975,5.780000000000001,-6.0,293.0,0
2018,Colombia,England,draw,4.05,3.12,2.16,1,1,1.89,77.9,79.2,77.6,75.9,82.44,83.5,81.56,81.06,13.0,1078.0,15.0,1047.0,-4.539999999999992,-4.299999999999997,-3.9600000000000084,-5.159999999999997,-2.0,31.0,0
2014,Costa Rica,England,draw,4.3,3.94,1.79,0,0,2.51,73.0,73.0,73.0,74.0,82.44,83.5,81.56,81.06,31.0,743.0,13.0,1041.0,-9.439999999999998,-10.5,-8.560000000000002,-7.060000000000002,18.0,-298.0,0
2014,Costa Rica,Greece,draw,2.65,3.07,2.97,1,1,-0.3200000000000003,73.0,73.0,73.0,74.0,75.12,75.12,74.12,75.12,31.0,743.0,12.0,1055.0,-2.1200000000000045,-2.1200000000000045,-1.1200000000000043,-1.1200000000000043,19.0,-312.0,0
2006,Croatia,Australia,draw,2.23,3.2,2.95,2,2,-0.7200000000000002,78.12,78.5,76.75,74.62,72.17,71.56,71.11,69.28,20.0,701.0,48.0,610.0,5.950000000000002,6.939999999999998,5.6400000000000015,5.340000000000003,-28.0,91.0,0
2018,Croatia,Denmark,draw,1.96,3.24,4.78,1,1,-2.8200000000000003,78.12,78.5,76.75,74.62,76.78,75.11,77.06,75.5,17.0,1048.0,12.0,1099.0,1.3400000000000034,3.390000000000001,-0.3100000000000023,-0.8799999999999955,5.0,-51.0,0
2018,Denmark,Australia,draw,1.93,3.4,4.58,1,1,-2.6500000000000004,76.78,75.11,77.06,75.5,72.17,71.56,71.11,69.28,12.0,1099.0,38.0,763.0,4.6099999999999985,3.549999999999997,5.950000000000002,6.219999999999999,-26.0,336.0,0
2018,Denmark,France,draw,5.37,2.74,2.08,0,0,3.29,76.78,75.11,77.06,75.5,83.28,83.28,82.56,81.72,12.0,1099.0,9.0,1183.0,-6.5,-8.170000000000002,-5.5,-6.219999999999999,3.0,-84.0,0
2014,Ecuador,France,draw,5.42,4.12,1.62,0,0,3.8,71.88,71.56,70.94,68.94,83.28,83.28,82.56,81.72,23.0,852.0,20.0,893.0,-11.400000000000004,-11.72,-11.620000000000005,-12.78,3.0,-41.0,0
2010,England,Algeria,draw,1.23,5.52,14.9,0,0,-13.67,82.44,83.5,81.56,81.06,77.0,77.0,78.0,76.0,9.0,1076.0,26.0,784.0,5.439999999999998,6.5,3.5600000000000023,5.060000000000001,-17.0,292.0,0
