home_team,away_team,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif
Qatar,Ecuador,-1.3799999999999955,0.4399999999999977,-0.4399999999999977,0.5600000000000023,6,-83.75999999999999,46,-264
Senegal,Netherlands,-4.0,-2.469999999999999,-4.290000000000006,-1.8799999999999955,10,-136.94000000000005,31,-326
England,Iran,7.439999999999998,2.5,8.560000000000002,9.060000000000002,-15,222.46000000000004,-19,188
United States,Wales,0.5400000000000063,-1.1500000000000057,0.04999999999999716,-0.269999999999996,-3,122.46000000000004,-16,102
Argentina,Saudi Arabia,11.030000000000001,12.739999999999995,9.049999999999997,7.469999999999999,-48,400.25,-53,500
Mexico,Poland,1.1599999999999966,-0.6099999999999994,2.780000000000001,2.6700000000000017,-13,75.95000000000005,-1,11
Denmark,Tunisia,5.780000000000001,5.609999999999999,7.060000000000002,4.5,-20,81.90999999999985,-21,136
France,Australia,11.11,11.719999999999999,11.450000000000003,12.439999999999998,-34,289.4200000000001,-26,310
Germany,Japan,7.829999999999998,7.439999999999998,6.109999999999999,5.219999999999999,-13,53.830000000000155,-9,106
Spain,Costa Rica,11.61,10.060000000000002,11.439999999999998,8.829999999999998,-24,192.52999999999997,-31,259
Morocco,Croatia,-1.1200000000000045,0.0,-4.25,3.8799999999999955,10,-55.26999999999998,6,-84
Belgium,Canada,9.0,7.450000000000003,6.439999999999998,10.939999999999998,-39,349.65999999999985,-29,236
Switzerland,Cameroon,2.6299999999999955,0.3199999999999932,3.0,3.6899999999999977,-28,155.72000000000003,-32,200
Brazil,Serbia,5.0,4.5,3.8900000000000006,7.890000000000001,-20,314.30999999999995,-18,299
Uruguay,South Korea,6.8799999999999955,8.789999999999992,5.239999999999995,8.200000000000003,-14,87.96000000000004,-13,117
Portugal,Ghana,5.939999999999998,2.8299999999999983,6.939999999999998,6.939999999999998,-52,302.52,-57,403
Qatar,Senegal,-6.5,-7.0,-5.5,-7.5,32,-210.42000000000007,30,-169
Netherlands,Ecuador,9.120000000000005,9.909999999999997,9.350000000000009,9.939999999999998,-36,263.60000000000014,-15,231
Wales,Iran,-1.1500000000000057,-5.849999999999994,0.6200000000000045,0.769999999999996,-1,-21.450000000000045,12,-62
England,United States,8.049999999999997,9.5,7.890000000000001,8.560000000000002,-11,121.45000000000005,-15,148
Poland,Saudi Arabia,4.280000000000001,5.890000000000001,1.3900000000000006,0.3299999999999983,-25,121.69999999999982,-29,159
Argentina,Mexico,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-10,202.60000000000014,-23,330
Tunisia,Australia,-1.1700000000000017,-2.0600000000000023,-1.1099999999999994,1.7199999999999989,-8,-7.769999999999982,6,-25
France,Denmark,6.5,8.170000000000002,5.5,6.219999999999999,-6,215.2800000000002,-11,199
Japan,Costa Rica,3.0,2.0,4.0,2.0,-7,92.89999999999986,-19,113
Spain,Germany,0.7800000000000011,0.6200000000000045,1.3299999999999983,1.6099999999999994,-4,45.799999999999955,-3,40
Belgium,Morocco,3.1099999999999994,1.3900000000000006,6.609999999999999,0.21999999999999886,-20,108.95000000000005,-5,81
Croatia,Canada,7.010000000000005,6.060000000000002,4.079999999999998,6.840000000000003,-29,295.9799999999998,-30,239
Cameroon,Serbia,-3.3599999999999994,-4.109999999999999,-4.519999999999996,-1.5799999999999983,22,-27.160000000000082,27,-156
Brazil,Switzerland,5.730000000000004,8.290000000000006,5.409999999999997,5.780000000000001,-14,185.75,-13,255
South Korea,Ghana,-4.5,-7.599999999999994,-4.299999999999997,-4.700000000000003,-33,139.47000000000003,-36,192
Portugal,Uruguay,3.5600000000000023,1.6400000000000006,6.0,3.4399999999999977,-5,75.08999999999992,-8,94
Ecuador,Senegal,-5.1200000000000045,-7.439999999999998,-5.060000000000002,-8.060000000000002,26,-126.66000000000008,-16,95
Qatar,Netherlands,-10.5,-9.469999999999999,-9.790000000000006,-9.379999999999995,42,-347.3600000000001,61,-495
Wales,England,-8.590000000000003,-8.349999999999994,-7.939999999999998,-8.290000000000006,14,-243.91000000000008,31,-250
Iran,United States,0.6099999999999994,7.0,-0.6700000000000017,-0.5,4,-101.00999999999999,4,-40
Poland,Argentina,-6.75,-6.849999999999994,-7.659999999999997,-7.140000000000001,23,-278.5500000000002,24,-341
Saudi Arabia,Mexico,-5.439999999999998,-5.280000000000001,-4.170000000000002,-3.0,38,-197.64999999999986,30,-170
Australia,Denmark,-4.609999999999999,-3.549999999999997,-5.950000000000003,-6.219999999999999,28,-74.13999999999987,15,-111
Tunisia,France,-12.280000000000001,-13.780000000000001,-12.560000000000002,-10.719999999999999,26,-297.19000000000005,32,-335
Japan,Spain,-8.61,-8.060000000000002,-7.439999999999998,-6.829999999999998,17,-99.63000000000011,12,-146
Costa Rica,Germany,-10.829999999999998,-9.439999999999998,-10.11,-7.219999999999999,20,-146.73000000000002,28,-219
Croatia,Belgium,-1.9899999999999949,-1.3900000000000006,-2.3599999999999994,-4.099999999999994,10,-53.680000000000064,-1,3
Canada,Morocco,-5.890000000000001,-6.060000000000002,0.1700000000000017,-10.719999999999999,19,-240.7099999999998,24,-155
Serbia,Switzerland,0.730000000000004,3.7900000000000063,1.519999999999996,-2.1099999999999994,6,-128.55999999999995,5,-44
Cameroon,Brazil,-8.36,-8.61,-8.409999999999997,-9.469999999999999,42,-341.47,45,-455
Ghana,Uruguay,-2.3799999999999955,-1.1899999999999977,-0.9399999999999977,-3.5,47,-227.43000000000006,49,-309
