Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2018,Russia,Saudi Arabia,5,0,1.7,0.2,30,1753,23,1741,62,1580,77,1491,5,1.5,-32,173,-54,250
2018,Egypt,Uruguay,0,1,0.3,1.6,53,1617,34,1672,11,1923,12,1876,-1,-1.3,42,-306,22,-204
2018,Morocco,Iran,0,1,0.7,1.0,37,1730,44,1650,19,1823,41,1648,-1,-0.30000000000000004,18,-93,3,2
2018,Portugal,Spain,3,3,1.2,1.6,8,1959,20,1781,4,2011,7,1938,0,-0.40000000000000013,4,-52,13,-157
2018,France,Australia,2,1,1.3,1.0,2,2094,17,1774,35,1735,34,1669,1,0.30000000000000004,-33,359,-17,105
2018,Argentina,Iceland,1,1,1.9,1.0,13,1915,5,1983,46,1669,81,1411,0,0.8999999999999999,-33,246,-76,572
2018,Peru,Denmark,0,1,1.7,1.0,16,1855,35,1669,14,1898,20,1793,-1,0.7,2,-43,15,-124
2018,Croatia,Nigeria,2,0,1.5,0.7,10,1925,12,1875,42,1713,40,1665,2,0.8,-32,212,-28,210
2018,Costa Rica,Serbia,0,1,0.9,0.9,40,1724,34,1694,20,1808,20,1784,-1,0.0,20,-84,14,-90
2018,Germany,Mexico,0,1,1.4,1.3,9,1938,8,1908,22,1787,20,1775,-1,0.09999999999999987,-13,151,-12,133
2018,Brazil,Switzerland,1,1,2.2,0.9,1,2136,4,1994,12,1922,28,1677,0,1.3000000000000003,-11,214,-24,317
2018,Sweden,South Korea,1,0,2.3,0.3,17,1851,16,1796,23,1778,35,1682,1,1.9999999999999998,-6,73,-19,114
2018,Belgium,Panama,3,0,2.0,0.5,3,2035,24,1740,65,1568,102,1339,3,1.5,-62,467,-78,401
2018,Tunisia,England,1,2,1.0,2.8,48,1650,53,1601,7,1960,4,1979,-1,-1.7999999999999998,41,-310,49,-378
2018,Colombia,Japan,1,2,1.0,2.0,6,1961,51,1588,36,1731,64,1441,-1,-1.0,-30,230,-13,147
2018,Poland,Senegal,1,2,0.8,1.0,32,1752,30,1708,28,1758,58,1578,-1,-0.19999999999999996,4,-6,-28,130
2018,Russia,Egypt,3,1,1.2,1.4,30,1753,23,1741,53,1617,34,1672,2,-0.19999999999999996,-23,136,-11,69
2018,Portugal,Morocco,1,0,1.2,0.9,8,1959,20,1781,37,1730,44,1650,1,0.29999999999999993,-29,229,-24,131
2018,Uruguay,Saudi Arabia,1,0,1.7,0.3,11,1923,12,1876,62,1580,77,1491,1,1.4,-51,343,-65,385
2018,Iran,Spain,0,1,0.7,1.9,19,1823,41,1648,4,2011,7,1938,-1,-1.2,15,-188,34,-290
2018,Denmark,Australia,1,1,0.8,1.3,14,1898,20,1793,35,1735,34,1669,0,-0.5,-21,163,-14,124
2018,France,Peru,1,0,2.0,0.4,2,2094,17,1774,16,1855,35,1669,1,1.6,-14,239,-18,105
2018,Argentina,Croatia,0,3,1.3,1.9,13,1915,5,1983,10,1925,12,1875,-3,-0.5999999999999999,3,-10,-7,108
2018,Brazil,Costa Rica,2,0,2.6,0.1,1,2136,4,1994,40,1724,34,1694,2,2.5,-39,412,-30,300
2018,Nigeria,Iceland,2,0,0.9,1.3,42,1713,40,1665,46,1669,81,1411,2,-0.4,-4,44,-41,254
2018,Serbia,Switzerland,1,2,1.5,2.1,20,1808,20,1784,12,1922,28,1677,-1,-0.6000000000000001,8,-114,-8,107
2018,Belgium,Tunisia,5,2,5.2,1.1,3,2035,24,1740,48,1650,53,1601,3,4.1,-45,385,-29,139
2018,South Korea,Mexico,1,2,0.9,1.9,23,1778,35,1682,22,1787,20,1775,-1,-0.9999999999999999,1,-9,15,-93
2018,Germany,Sweden,2,1,1.4,0.9,9,1938,8,1908,17,1851,16,1796,1,0.4999999999999999,-8,87,-8,112
2018,England,Panama,6,1,2.8,1.1,7,1960,4,1979,65,1568,102,1339,5,1.6999999999999997,-58,392,-98,640
